sample,oldName,ID,region,bank,site,date,species,latDD,longDD,depthFt,depthM,depthZone
MGM001,MGB001,MGM001,NWGOM,Geyer,GBMeso1,5/16/23,M. cavernosa,27.84753,-93.06443,158,48.2,Mesophotic
MGM002.1,MGB002,MGM002,NWGOM,Geyer,GBMeso1,5/16/23,M. cavernosa,27.84753,-93.06443,155,47.2,Mesophotic
MGM002.2,MGB002.2,MGM002,NWGOM,Geyer,GBMeso1,5/16/23,M. cavernosa,27.84753,-93.06443,155,47.2,Mesophotic
MGM002.3,MGB002.3,MGM002,NWGOM,Geyer,GBMeso1,5/16/23,M. cavernosa,27.84753,-93.06443,155,47.2,Mesophotic
MGM003,MGB003,MGM003,NWGOM,Geyer,GBMeso1,5/16/23,M. cavernosa,27.84753,-93.06443,176,53.6,Mesophotic
MGM004,MGB004,MGM004,NWGOM,Geyer,GBMeso1,5/16/23,M. cavernosa,27.84753,-93.06443,160,48.8,Mesophotic
MGM005,MGB005,MGM005,NWGOM,Geyer,GBMeso1,5/17/23,M. cavernosa,27.84753,-93.06443,155,47.2,Mesophotic
MGM006,MGB006,MGM006,NWGOM,Geyer,GBMeso1,5/17/23,M. cavernosa,27.84753,-93.06443,165,50.3,Mesophotic
MGM007,MGB007,MGM007,NWGOM,Geyer,GBMeso1,5/17/23,M. cavernosa,27.84753,-93.06443,159,48.5,Mesophotic
MGM008.1,MGB008,MGM008,NWGOM,Geyer,GBMeso1,5/17/23,M. cavernosa,27.84753,-93.06443,168,51.2,Mesophotic
MGM008.2,MGB008.2,MGM008,NWGOM,Geyer,GBMeso1,5/17/23,M. cavernosa,27.84753,-93.06443,168,51.2,Mesophotic
MGM008.3,MGB008.3,MGM008,NWGOM,Geyer,GBMeso1,5/17/23,M. cavernosa,27.84753,-93.06443,168,51.2,Mesophotic
MGM009,MGB009,MGM009,NWGOM,Geyer,GBMeso1,5/17/23,M. cavernosa,27.84753,-93.06443,157,47.9,Mesophotic
MGM010,MGB010,MGM010,NWGOM,Geyer,GBMeso1,5/17/23,M. cavernosa,27.84753,-93.06443,155,47.2,Mesophotic
MGM011,MGB011,MGM011,NWGOM,Geyer,GBMeso1,5/18/23,M. cavernosa,27.84753,-93.06443,161,49.1,Mesophotic
MGM012,MGB012,MGM012,NWGOM,Geyer,GBMeso1,5/18/23,M. cavernosa,27.84753,-93.06443,181,55.2,Mesophotic
MGM013.1,MGB013,MGM013,NWGOM,Geyer,GBMeso1,5/18/23,M. cavernosa,27.84753,-93.06443,193,58.8,Mesophotic
MGM013.2,MGB013.2,MGM013,NWGOM,Geyer,GBMeso1,5/18/23,M. cavernosa,27.84753,-93.06443,193,58.8,Mesophotic
MGM013.3,MGB013.3,MGM013,NWGOM,Geyer,GBMeso1,5/18/23,M. cavernosa,27.84753,-93.06443,193,58.8,Mesophotic
MGM014,MGB014,MGM014,NWGOM,Geyer,GBMeso1,5/18/23,M. cavernosa,27.84753,-93.06443,154,46.9,Mesophotic
MGM015,nwgom_001,MGM015,NWGOM,EFGB,EBMeso1,5/3/16,M. cavernosa,27.91102,-93.59668,153,46.6,Mesophotic
MGM016,nwgom_003,MGM016,NWGOM,EFGB,EBMeso1,10/29/15,M. cavernosa,27.91102,-93.59668,155,47.2,Mesophotic
MGM017,nwgom_004,MGM017,NWGOM,EFGB,EBMeso1,10/29/15,M. cavernosa,27.91102,-93.59668,151,46,Mesophotic
MGM018,nwgom_006,MGM018,NWGOM,EFGB,EBMeso1,10/29/15,M. cavernosa,27.91102,-93.59668,153,46.6,Mesophotic
MGM019,nwgom_007,MGM019,NWGOM,EFGB,EBMeso1,9/27/16,M. cavernosa,27.91102,-93.59668,155,47.2,Mesophotic
