oldName,Sample
MGB001,MGM001
MGB002,MGM002
MGB002.2,MGM002.2
MGB002.3,MGM002.3
MGB003,MGM003
MGB004,MGM004
MGB005,MGM005
MGB006,MGM006
MGB007,MGM007
MGB008,MGM008
MGB008.2,MGM008.2
MGB008.3,MGM008.3
MGB009,MGM009
MGB010,MGM010
MGB011,MGM011
MGB012,MGM012
MGB013,MGM013
MGB013.2,MGM013.2
MGB013.3,MGM013.3
MGB014,MGM014
nwgom_001,MGM015
nwgom_003,MGM016
nwgom_004,MGM017
nwgom_006,MGM018
nwgom_007,MGM019
nwgom_008,MGM020
nwgom_010,MGM021
nwgom_011,MGM022
nwgom_012,MGM023
nwgom_013,MGM024
nwgom_013.2,MGM024.2
nwgom_015,MGM025
nwgom_016,MGM026
nwgom_017,MGM027
nwgom_019,MGM028
nwgom_020,MGM029
nwgom_021,MGM030
nwgom_023,MGM031
nwgom_024,MGM032
nwgom_026,MGM033
nwgom_028,MGM034
nwgom_030,MGM035
nwgom_031,MGM036
nwgom_032,MGM037
nwgom_033,MGM038
nwgom_033.2,MGM038.2
nwgom_033.3,MGM038.3
nwgom_035,MGM039
nwgom_036,MGM040
nwgom_037,MGM041
nwgom_038,MGM042
nwgom_041,MGM043
nwgom_042,MGM044
nwgom_043,MGM045
nwgom_044,MGM046
nwgom_045,MGM047
nwgom_046,MGM048
nwgom_047,MGM049
nwgom_048,MGM050
nwgom_049,MGM051
nwgom_050,MGM052
nwgom_051,MGM053
nwgom_052,MGM054
nwgom_053,MGM055
nwgom_054,MGM056
nwgom_055,MGM057
nwgom_056,MGM058
nwgom_058,MGM059
nwgom_059,MGM060
nwgom_060,MGM061
nwgom_062,MGM062
nwgom_063,MGM063
nwgom_064,MGM064
nwgom_065,MGM065
nwgom_066,MGM066
nwgom_067,MGM067
nwgom_068,MGM068
nwgom_069,MGM069
nwgom_070,MGM070
nwgom_071,MGM071
nwgom_072,MGM072
nwgom_072.2,MGM072.2
nwgom_072.3,MGM072.3
nwgom_073,MGM073
nwgom_074,MGM074
nwgom_075,MGM075
nwgom_076,MGM076
nwgom_077,MGM077
nwgom_078,MGM078
nwgom_079,MGM079
nwgom_080,MGM080
nwgom_081,MGM081
nwgom_082,MGM082
nwgom_083,MGM083
nwgom_084,MGM084
nwgom_085,MGM085
nwgom_086,MGM086
nwgom_087,MGM087
nwgom_091,MGM088
nwgom_092,MGM089
nwgom_093,MGM090
nwgom_094,MGM091
nwgom_095,MGM092
nwgom_096,MGM093
nwgom_097,MGM094
nwgom_098,MGM095
nwgom_099,MGM096
nwgom_100,MGM097
nwgom_101,MGM098
nwgom_103,MGM099
nwgom_104,MGM100
nwgom_105,MGM101
nwgom_106,MGM102
nwgom_107,MGM103
nwgom_108,MGM104
nwgom_109,MGM105
nwgom_110,MGM106
nwgom_111,MGM107
nwgom_112,MGM108
nwgom_113,MGM109
nwgom_114,MGM110
nwgom_115,MGM111
nwgom_116,MGM112
nwgom_117,MGM113
nwgom_119,MGM114
nwgom_120,MGM115
nwgom_121,MGM116
nwgom_122,MGM117
nwgom_123,MGM118
nwgom_124,MGM119
nwgom_125,MGM120
nwgom_126,MGM121
nwgom_127,MGM122
nwgom_129,MGM123
nwgom_130,MGM124
nwgom_131,MGM125
nwgom_132,MGM126
nwgom_133,MGM127
nwgom_134,MGM128
nwgom_135,MGM129
nwgom_136,MGM130
nwgom_137,MGM131
nwgom_139,MGM132
nwgom_140,MGM133
nwgom_141,MGM134
nwgom_142,MGM135
nwgom_143,MGM136
nwgom_144,MGM137
nwgom_145,MGM138
nwgom_146,MGM139
nwgom_147,MGM140
nwgom_148,MGM141
nwgom_149,MGM142
nwgom_150,MGM143
nwgom_152,MGM144
nwgom_153,MGM145
nwgom_154,MGM146
nwgom_155,MGM147
nwgom_156,MGM148
nwgom_157,MGM149
nwgom_158,MGM150
nwgom_159,MGM151
nwgom_160,MGM152
nwgom_161,MGM153
nwgom_162,MGM154
nwgom_163,MGM155
nwgom_164,MGM156
nwgom_165,MGM157
nwgom_166,MGM158
nwgom_167,MGM159
nwgom_168,MGM160
nwgom_169,MGM161
nwgom_170,MGM162
nwgom_171,MGM163
nwgom_172,MGM164
nwgom_173,MGM165
nwgom_174,MGM166
nwgom_175,MGM167
nwgom_176,MGM168
nwgom_178,MGM169
nwgom_179,MGM170
nwgom_180,MGM171
OGM001,OGM001
OGM002,OGM002
OGM003,OGM003
OGM004,OGM004
OGM005,OGM005
OGM006,OGM006
OGM007,OGM007
OGM008,OGM008
OGM009,OGM009
OGM010,OGM010
OGM011,OGM011
OGM012,OGM012
OGM013,OGM013
OGM014,OGM014
OGM015,OGM015
OGM016,OGM016
OGM017,OGM017
OGM018,OGM018
OGM019,OGM019
OGM020,OGM020
OGM021,OGM021
OGM022,OGM022
OGM023,OGM023
OGM024,OGM024
