# File generated at 2024-10-02 00:29:26 CST
# Generated by StructureSelector
# http://lmme.qdio.ac.cn/StructureSelector/
# https://lmme.ac.cn/StructureSelector/        
# Contact: Yulong Li <liyulong12@mails.ucas.ac.cn>
# Citation: Li YL, Liu JX (2018) StructureSelector: A web based software to select and visualize the optimal number of 
# clusters using multiple methods.Molecular Ecology Resources, 18:176–177.
#
# Puechmaille Method:
# Citation:
# Puechmaille SJ (2016) The program structure does not reliably recover the correct population structure 
# when sampling is uneven: subsampling and new estimators alleviate the problem. Molecular Ecology Resources, 16: 608-627.
K	MedMed	MedMean	MaxMed	MaxMean	Reps
1	1	1	1	1	20
2	2	2	2	2	20
3	2	2	2	2	20
4	2	2	2	2	20
5	2	2	2	2	20
6	1	1	2	2	20
7	1	0	2	1	20
8	0	0	1	0	20
9	0	0	1	0	20
10	0	0	0	0	20
	MedMedK	MedMeaK	MaxMedK	MaxMeaK
ALL	2	2	2	2
